age,campaign,pdays,emp.var.rate,cons.conf.idx,euribor3m,nr.employed,job_n,marital_n,education_n,default_n,housing_n,loan_n,contact_n,poutcome_n
36,2,999,1.1,-36.4,4.857,5191.0,3,1,1,0,0,0,0,0
35,2,999,-3.4,-29.8,0.819,5017.5,9,0,1,0,0,0,1,0
28,1,999,-1.7,-39.8,0.702,4991.6,1,0,1,0,1,1,0,0
35,2,999,1.1,-36.4,4.856,5191.0,1,0,1,0,0,0,0,0
33,2,999,1.1,-36.4,4.855,5191.0,6,0,5,0,0,0,0,0
36,7,999,1.4,-41.8,4.865,5228.1,6,0,5,0,0,0,0,0
43,1,999,1.4,-42.7,4.96,5228.1,2,0,1,0,0,0,1,0
35,3,999,1.4,-42.7,4.968,5228.1,4,0,4,0,0,0,1,0
39,3,999,-0.1,-42.0,4.12,5195.8,1,2,1,0,1,0,1,0
35,2,999,-1.8,-46.2,1.266,5099.1,2,2,1,0,1,0,1,0
48,4,999,-1.8,-46.2,1.334,5099.1,3,0,2,0,1,0,1,0
45,2,999,-1.8,-47.1,1.41,5099.1,3,0,0,0,0,0,1,0
38,2,999,1.1,-36.4,4.858,5191.0,4,0,4,0,0,0,0,0
46,2,999,-0.1,-42.0,4.076,5195.8,6,1,5,0,1,1,1,0
80,5,999,-3.0,-33.0,0.718,5023.5,5,2,0,0,0,1,1,0
65,2,999,-1.8,-47.1,1.405,5099.1,5,0,5,0,0,0,1,0
26,1,999,-1.8,-46.2,1.259,5099.1,4,1,5,0,0,0,1,0
29,1,999,-1.8,-46.2,1.344,5099.1,10,1,1,0,0,1,1,0
61,2,999,-2.9,-31.4,0.869,5076.2,5,0,3,0,1,0,0,0
34,2,999,-0.1,-42.0,4.12,5195.8,2,0,2,0,1,1,1,0
34,5,999,1.1,-36.4,4.856,5191.0,6,0,5,0,0,1,0,0
40,1,999,-0.1,-42.0,4.153,5195.8,3,0,0,0,0,0,1,0
38,2,999,1.4,-41.8,4.865,5228.1,3,0,2,0,0,0,0,0
53,2,999,-1.8,-47.1,1.365,5099.1,2,1,5,0,0,1,1,0
45,1,13,-2.9,-33.6,1.029,5076.2,2,0,5,0,0,0,1,1
51,2,999,-0.1,-42.0,4.153,5195.8,2,0,5,0,1,0,1,0
32,2,999,-1.8,-46.2,1.334,5099.1,2,0,1,0,1,1,1,0
41,1,999,1.1,-36.4,4.857,5191.0,3,0,0,0,0,0,0,0
35,1,999,-1.8,-47.1,1.365,5099.1,2,2,1,0,1,0,1,0
56,5,999,1.4,-41.8,4.959,5228.1,3,0,0,0,0,0,0,0
22,4,999,-1.8,-46.2,1.25,5099.1,1,1,1,0,0,0,1,0
35,5,999,-1.8,-46.2,1.281,5099.1,9,0,5,0,1,0,1,0
25,3,999,1.4,-42.7,4.961,5228.1,6,1,5,0,0,0,1,0
56,1,999,-3.4,-30.1,0.714,5017.5,3,2,0,0,0,0,1,0
54,2,4,-2.9,-31.4,0.883,5076.2,2,2,1,0,1,0,1,1
39,1,999,1.1,-36.4,4.856,5191.0,2,0,2,0,1,1,0,0
29,2,999,1.4,-41.8,4.96,5228.1,3,1,1,0,0,0,0,0
30,4,999,1.4,-36.1,4.964,5228.1,4,1,4,0,0,0,1,0
54,1,999,-1.8,-46.2,1.327,5099.1,2,0,1,0,1,0,1,0
31,2,13,-1.1,-37.5,0.879,4963.6,2,0,5,0,1,0,1,1
35,1,999,-0.1,-42.0,4.153,5195.8,7,1,2,0,1,0,1,0
37,1,999,-1.8,-47.1,1.435,5099.1,3,0,4,0,0,0,1,0
37,1,999,1.4,-42.7,4.957,5228.1,2,0,1,0,0,1,1,0
41,4,999,1.4,-42.7,4.955,5228.1,9,0,5,0,1,1,0,0
46,3,999,-1.8,-47.1,1.423,5099.1,3,2,3,0,1,0,0,0
49,2,999,-0.1,-42.0,4.12,5195.8,2,1,3,0,1,1,1,0
30,3,999,1.1,-36.4,4.86,5191.0,4,1,5,0,1,0,0,0
35,2,999,1.1,-36.4,4.859,5191.0,10,0,5,0,1,0,0,0
28,1,999,1.4,-42.7,4.962,5228.1,1,0,1,0,0,0,1,0
38,1,999,-0.1,-42.0,4.076,5195.8,6,1,5,0,1,1,1,0
31,3,999,-1.8,-46.2,1.281,5099.1,3,0,3,0,1,1,1,0
35,1,999,1.4,-41.8,4.961,5228.1,3,0,3,0,1,0,0,0
44,11,999,1.4,-42.7,4.968,5228.1,2,2,1,0,1,1,1,0
32,4,999,1.4,-36.1,4.964,5228.1,4,1,4,0,1,0,1,0
85,1,6,-1.8,-34.6,0.642,5008.7,0,0,0,0,1,0,1,1
44,1,999,1.1,-36.4,4.858,5191.0,1,2,1,0,0,0,0,0
28,2,999,1.1,-36.4,4.864,5191.0,4,1,1,0,0,0,0,0
27,3,6,-1.8,-34.8,0.639,5008.7,2,1,5,0,1,0,1,1
45,3,999,-1.8,-47.1,1.405,5099.1,3,0,3,0,0,1,1,0
31,1,999,-2.9,-40.8,1.262,5076.2,2,1,5,0,0,1,1,0
43,1,999,1.4,-42.7,4.958,5228.1,4,1,5,0,1,0,1,0
46,1,999,-1.8,-46.2,1.244,5099.1,4,2,4,0,0,0,1,0
40,26,999,1.4,-41.8,4.961,5228.1,1,0,5,0,1,0,0,0
48,4,999,-1.8,-46.2,1.344,5099.1,1,0,0,0,0,0,1,0
44,1,999,1.4,-36.1,4.968,5228.1,4,0,5,0,1,0,1,0
55,2,999,1.4,-36.1,4.964,5228.1,2,0,1,0,1,0,1,0
33,2,999,-2.9,-31.4,0.861,5076.2,4,0,5,0,1,0,1,0
29,2,999,-0.1,-42.0,4.076,5195.8,2,1,1,0,1,0,1,0
29,1,999,1.4,-42.7,4.962,5228.1,4,0,4,0,1,0,1,0
33,1,999,-1.8,-46.2,1.334,5099.1,3,0,1,0,1,0,0,0
19,1,6,-1.7,-40.3,0.827,4991.6,10,1,3,0,0,1,0,1
34,1,999,1.4,-36.1,4.965,5228.1,2,0,5,0,0,0,1,0
52,1,999,1.1,-36.4,4.856,5191.0,1,0,5,0,0,0,0,0
41,1,999,-1.8,-46.2,1.344,5099.1,3,0,0,0,1,0,1,0
45,1,999,1.4,-36.1,4.967,5228.1,8,0,3,0,0,0,1,0
49,1,999,1.4,-36.1,4.965,5228.1,1,0,1,0,0,0,1,0
39,2,999,1.1,-36.4,4.857,5191.0,9,0,3,0,0,0,0,0
39,1,999,1.4,-36.1,4.964,5228.1,4,0,4,0,1,0,1,0
39,8,999,-1.8,-46.2,1.327,5099.1,4,0,4,0,0,0,1,0
51,2,999,1.4,-36.1,4.966,5228.1,3,0,0,0,0,0,1,0
34,1,999,-1.8,-46.2,1.244,5099.1,2,1,5,0,0,0,1,0
53,1,999,-1.8,-47.1,1.415,5099.1,5,0,1,0,0,0,1,0
23,1,999,1.4,-42.7,4.963,5228.1,2,1,4,0,0,0,1,0
74,6,999,-3.0,-33.0,0.715,5023.5,5,2,1,0,1,1,0,0
33,3,999,-1.8,-46.2,1.266,5099.1,3,0,3,0,0,1,0,0
30,6,999,1.4,-42.7,4.962,5228.1,3,0,0,0,1,0,0,0
28,2,999,1.4,-42.7,4.968,5228.1,2,1,5,0,0,0,1,0
28,1,999,-1.8,-46.2,1.327,5099.1,2,2,5,0,1,0,1,0
22,1,999,-2.9,-40.8,1.26,5076.2,1,1,1,0,1,1,1,0
39,2,999,1.4,-41.8,4.961,5228.1,3,0,3,0,1,0,0,0
54,2,999,-0.1,-42.0,4.191,5195.8,2,0,3,0,1,1,1,0
54,3,999,1.1,-36.4,4.857,5191.0,6,1,3,0,1,0,0,0
39,3,999,1.4,-42.7,4.96,5228.1,4,1,4,0,0,0,1,0
41,4,999,1.4,-41.8,4.962,5228.1,2,1,1,0,1,0,0,0
38,1,999,-0.1,-42.0,4.076,5195.8,6,0,5,0,1,0,1,0
49,6,999,1.1,-36.4,4.857,5191.0,3,0,4,0,0,0,0,0
45,2,999,1.1,-36.4,4.857,5191.0,6,2,5,0,0,0,0,0
28,4,999,-1.8,-50.0,1.629,5099.1,4,1,5,0,0,0,1,0
31,2,999,1.4,-41.8,4.959,5228.1,1,1,4,0,1,0,0,0
53,5,999,1.4,-36.1,4.966,5228.1,9,0,3,0,1,0,1,0
43,1,999,-0.1,-42.0,4.153,5195.8,6,0,4,0,0,0,1,0
55,2,999,1.4,-41.8,4.961,5228.1,4,0,3,0,1,0,0,0
44,2,999,1.4,-41.8,4.959,5228.1,2,2,5,0,0,0,0,0
39,2,999,1.1,-36.4,4.857,5191.0,3,0,2,0,1,0,0,0
41,1,999,-1.8,-46.2,1.313,5099.1,1,0,1,0,1,0,1,0
33,1,999,-1.8,-46.2,1.313,5099.1,3,0,3,0,0,0,1,0
44,2,999,1.4,-42.7,4.962,5228.1,2,0,5,0,1,0,1,0
39,3,999,-1.8,-47.1,1.405,5099.1,6,0,5,0,0,1,1,0
30,1,999,1.4,-36.1,4.965,5228.1,4,0,4,0,0,1,1,0
45,1,999,-0.1,-42.0,4.153,5195.8,4,2,4,0,1,1,1,0
40,1,999,-1.8,-46.2,1.344,5099.1,2,1,4,0,1,0,1,0
43,4,999,-1.8,-47.1,1.406,5099.1,2,0,5,0,0,0,1,0
50,2,15,-2.9,-31.4,0.861,5076.2,3,0,0,0,0,0,1,1
26,6,999,1.4,-41.8,4.961,5228.1,2,1,0,0,1,1,0,0
59,2,999,1.4,-42.7,4.962,5228.1,2,0,5,0,1,0,1,0
33,1,999,-1.8,-46.2,1.281,5099.1,2,2,5,0,0,0,1,0
28,1,999,-1.8,-46.2,1.266,5099.1,4,1,5,0,1,0,1,0
42,3,999,-1.8,-46.2,1.27,5099.1,0,0,1,0,1,0,1,0
30,3,999,1.4,-36.1,4.963,5228.1,4,1,4,0,0,0,1,0
34,1,999,-0.1,-42.0,4.153,5195.8,4,0,3,0,0,0,1,0
53,2,999,-2.9,-40.8,1.252,5076.2,0,0,0,0,0,1,1,0
39,2,999,-1.8,-46.2,1.266,5099.1,2,0,1,0,0,0,1,0
35,1,999,1.1,-36.4,4.857,5191.0,1,0,3,0,1,0,0,0
52,1,999,-0.1,-42.0,4.12,5195.8,9,0,5,0,1,0,1,0
31,2,999,-1.8,-46.2,1.264,5099.1,1,1,5,0,0,0,1,0
41,2,999,1.4,-42.7,4.96,5228.1,3,0,0,0,1,0,1,0
44,2,999,1.4,-36.1,4.97,5228.1,2,2,1,0,1,0,1,0
43,1,999,-2.9,-40.8,1.262,5076.2,2,0,5,0,1,0,1,0
50,3,999,1.4,-42.7,4.96,5228.1,2,0,0,0,1,0,1,0
26,3,999,1.4,-42.7,4.961,5228.1,3,1,2,0,1,0,1,0
57,4,999,-2.9,-31.4,0.883,5076.2,6,0,5,0,1,0,1,0
32,1,999,1.4,-36.1,4.964,5228.1,4,0,1,0,0,0,1,0
41,3,999,-1.8,-46.2,1.244,5099.1,4,1,1,0,1,0,1,0
45,1,999,1.1,-36.4,4.857,5191.0,2,0,2,0,1,0,0,0
51,1,999,1.1,-36.4,4.855,5191.0,3,0,0,0,0,0,0,0
23,1,4,-3.4,-26.9,0.754,5017.5,7,1,3,0,1,0,1,1
30,3,999,1.4,-42.7,4.963,5228.1,1,1,3,0,1,0,1,0
70,3,6,-1.7,-38.3,0.904,4991.6,5,0,0,0,1,0,1,1
38,3,999,1.4,-41.8,4.864,5228.1,3,0,3,0,1,0,0,0
39,1,999,1.4,-41.8,4.958,5228.1,2,0,1,0,0,0,0,0
38,3,999,1.4,-42.7,4.962,5228.1,2,0,5,0,1,1,1,0
52,1,999,-0.1,-42.0,4.12,5195.8,8,0,5,0,0,0,1,0
30,1,999,1.4,-42.7,4.962,5228.1,3,0,3,0,1,0,1,0
40,1,999,1.4,-36.1,4.964,5228.1,8,0,5,0,1,0,1,0
29,2,999,-3.4,-26.9,0.731,5017.5,4,1,4,0,1,0,1,0
57,3,999,1.4,-36.1,4.967,5228.1,3,0,2,0,0,0,1,0
35,4,999,1.1,-36.4,4.86,5191.0,1,0,1,0,0,0,0,0
31,3,999,1.4,-36.1,4.964,5228.1,4,1,1,0,1,0,1,0
40,6,999,1.4,-41.8,4.865,5228.1,9,0,4,0,0,0,0,0
32,4,999,-1.8,-46.2,1.281,5099.1,3,0,3,0,1,1,1,0
32,1,999,-0.1,-42.0,3.879,5195.8,7,1,1,0,0,1,0,0
58,1,999,1.4,-41.8,4.866,5228.1,0,0,0,0,1,0,0,0
35,1,999,1.4,-42.7,4.963,5228.1,2,0,1,0,0,0,1,0
30,1,999,1.1,-36.4,4.86,5191.0,3,1,1,0,1,0,0,0
45,1,999,1.1,-36.4,4.855,5191.0,3,0,0,0,1,0,0,0
47,1,999,-1.8,-47.1,1.405,5099.1,8,0,5,0,0,0,1,0
49,1,999,-1.8,-46.2,1.344,5099.1,3,0,4,0,1,1,1,0
35,6,999,1.4,-41.8,4.958,5228.1,3,0,2,0,1,0,0,0
29,8,999,1.4,-42.7,4.96,5228.1,2,1,5,0,0,1,0,0
33,3,999,1.4,-41.8,4.959,5228.1,2,0,1,0,1,0,0,0
33,2,999,1.1,-36.4,4.857,5191.0,2,2,5,0,0,0,0,0
31,2,999,-0.1,-42.0,4.021,5195.8,2,1,5,0,0,0,1,0
83,2,3,-1.7,-40.3,0.797,4991.6,0,2,0,0,1,0,1,1
52,5,999,1.4,-36.1,4.968,5228.1,4,1,4,0,1,0,1,0
33,1,999,-0.1,-42.0,4.076,5195.8,1,1,1,0,1,0,1,0
32,12,999,1.4,-41.8,4.962,5228.1,10,1,5,0,1,0,0,0
29,4,999,-0.1,-42.0,4.076,5195.8,1,0,1,0,1,1,1,0
32,5,999,1.4,-36.1,4.966,5228.1,8,1,5,0,1,0,1,0
36,1,999,1.1,-36.4,4.855,5191.0,3,0,2,0,0,0,0,0
32,2,999,-0.1,-42.0,4.12,5195.8,6,1,5,0,0,0,1,0
35,1,999,1.1,-36.4,4.855,5191.0,2,0,3,0,1,1,0,0
46,2,999,1.1,-36.4,4.856,5191.0,2,0,0,0,0,0,0,0
47,1,999,1.4,-42.7,4.962,5228.1,0,0,0,0,0,0,1,0
45,1,999,1.1,-36.4,4.856,5191.0,2,0,3,0,1,0,0,0
57,3,999,1.4,-42.7,4.962,5228.1,3,0,0,0,1,0,1,0
27,3,999,1.4,-41.8,4.865,5228.1,2,0,3,0,1,0,0,0
37,1,999,1.4,-42.7,4.962,5228.1,3,0,2,0,1,0,1,0
39,13,999,1.4,-42.7,4.962,5228.1,2,0,5,0,0,0,1,0
35,7,999,1.1,-36.4,4.864,5191.0,3,1,3,0,1,0,0,0
36,2,999,1.4,-36.1,4.963,5228.1,4,1,1,0,0,0,1,0
37,1,999,1.1,-36.4,4.857,5191.0,3,0,2,0,1,1,0,0
24,1,999,1.4,-41.8,4.866,5228.1,2,1,1,0,0,0,0,0
46,2,999,1.4,-41.8,4.962,5228.1,4,2,4,0,0,0,0,0
27,3,999,1.4,-42.7,4.957,5228.1,1,1,1,0,1,0,1,0
30,3,999,1.4,-36.1,4.965,5228.1,4,1,1,0,1,0,0,0
82,1,6,-1.8,-34.6,0.643,5008.7,5,2,0,0,0,0,1,1
28,1,999,-2.9,-31.4,0.879,5076.2,8,1,5,0,1,0,1,0
37,3,4,-2.9,-31.4,0.884,5076.2,4,0,4,0,0,0,1,1
42,1,999,-1.1,-37.5,0.886,4963.6,2,2,5,0,1,0,1,0
41,2,999,-0.1,-42.0,4.021,5195.8,4,0,5,0,1,1,1,0
44,3,999,-1.8,-46.2,1.281,5099.1,7,2,3,0,0,0,0,0
41,1,999,1.4,-41.8,4.961,5228.1,2,2,1,0,1,0,0,0
44,1,999,-3.4,-29.8,0.809,5017.5,2,0,5,0,1,0,1,0
26,2,999,-2.9,-40.8,1.268,5076.2,8,1,5,0,1,0,1,0
35,1,999,1.4,-42.7,4.957,5228.1,2,1,1,0,1,1,1,0
60,2,999,-3.4,-26.9,0.724,5017.5,6,0,4,0,1,0,1,0
33,1,999,1.4,-42.7,4.962,5228.1,1,0,3,0,1,0,0,0
51,1,999,1.4,-36.1,4.965,5228.1,4,0,4,0,1,1,1,0
31,1,999,-1.8,-46.2,1.327,5099.1,4,0,4,0,1,0,1,0
29,1,999,-2.9,-40.8,1.26,5076.2,2,0,1,0,0,0,1,0
60,1,6,-1.1,-37.5,0.876,4963.6,5,0,1,0,0,0,1,1
37,2,999,1.4,-36.1,4.964,5228.1,2,0,5,0,0,0,1,0
29,4,999,1.4,-42.7,4.961,5228.1,9,0,0,0,0,0,1,0
36,7,999,1.4,-36.1,4.965,5228.1,2,1,5,0,1,0,1,0
30,6,999,1.4,-42.7,4.968,5228.1,1,1,1,0,1,0,1,0
32,1,999,1.4,-42.7,4.957,5228.1,3,1,3,0,0,0,1,0
78,2,999,-1.7,-40.3,0.87,4991.6,5,0,0,0,1,0,1,0
36,1,999,1.4,-42.7,4.963,5228.1,3,0,3,0,1,0,1,0
36,2,999,1.1,-36.4,4.855,5191.0,2,0,1,0,0,0,0,0
21,2,999,-1.8,-47.1,1.405,5099.1,1,1,3,0,0,0,1,0
62,2,999,-1.8,-34.8,0.635,5008.7,3,0,5,0,0,0,1,0
34,1,999,-1.8,-50.0,1.726,5099.1,4,1,4,0,1,1,1,0
39,4,999,1.1,-36.4,4.857,5191.0,2,0,1,0,1,0,0,0
38,1,999,-1.8,-46.2,1.327,5099.1,6,0,1,0,1,0,0,0
29,3,999,1.1,-36.4,4.858,5191.0,1,0,3,0,1,0,0,0
58,4,999,1.1,-36.4,4.856,5191.0,7,0,0,0,0,0,0,0
36,1,999,-2.9,-40.8,1.266,5076.2,7,0,5,0,1,0,1,0
45,2,999,-1.1,-49.5,1.016,4963.6,10,1,5,0,1,0,1,0
26,2,999,-3.4,-26.9,0.731,5017.5,2,0,1,0,1,1,1,0
58,2,999,1.1,-36.4,4.856,5191.0,0,0,0,0,1,0,0,0
39,7,999,1.4,-42.7,4.962,5228.1,2,1,1,0,0,0,1,0
52,2,999,1.4,-42.7,4.962,5228.1,3,0,3,0,1,0,1,0
44,2,4,-2.9,-40.8,1.262,5076.2,2,1,5,0,0,0,1,1
25,1,999,1.4,-42.7,4.961,5228.1,2,1,1,0,1,0,1,0
34,1,999,1.4,-42.7,4.962,5228.1,8,2,4,0,0,0,1,0
56,1,999,-0.1,-42.0,4.12,5195.8,6,0,5,0,1,1,1,0
38,5,999,1.4,-41.8,4.959,5228.1,8,1,3,0,1,1,0,0
33,1,999,1.4,-41.8,4.864,5228.1,4,0,5,0,1,0,0,0
39,2,999,1.4,-42.7,4.96,5228.1,4,1,4,0,0,0,1,0
29,3,999,1.4,-42.7,4.962,5228.1,2,0,1,0,0,0,1,0
88,2,999,-1.8,-50.0,1.663,5099.1,5,2,0,0,1,1,1,0
27,3,999,-1.8,-46.2,1.244,5099.1,1,1,1,0,1,1,1,0
38,2,999,1.4,-36.1,4.965,5228.1,4,2,1,0,0,0,1,0
32,3,999,-1.8,-46.2,1.344,5099.1,6,2,5,0,0,0,1,0
35,3,999,-1.8,-46.2,1.327,5099.1,6,0,5,0,0,0,1,0
49,3,999,-2.9,-40.8,1.252,5076.2,7,0,4,0,1,0,1,0
33,1,999,1.4,-36.1,4.965,5228.1,2,2,5,0,0,0,1,0
50,2,999,1.4,-41.8,4.962,5228.1,7,0,1,0,0,0,0,0
38,2,999,1.1,-36.4,4.856,5191.0,3,2,5,0,1,0,0,0
33,4,999,1.1,-36.4,4.856,5191.0,6,0,0,0,1,1,0,0
58,1,999,1.4,-41.8,4.866,5228.1,3,0,4,0,0,1,0,0
48,5,999,1.4,-36.1,4.964,5228.1,2,0,5,0,1,0,1,0
34,2,999,-1.8,-46.2,1.334,5099.1,0,0,1,0,0,0,1,0
35,7,999,1.4,-36.1,4.965,5228.1,6,2,5,0,0,0,1,0
32,4,999,1.4,-42.7,4.961,5228.1,3,1,3,0,1,0,1,0
43,2,999,1.4,-41.8,4.959,5228.1,7,0,4,0,0,0,0,0
52,2,999,-3.4,-30.1,0.714,5017.5,3,1,3,0,0,0,1,0
33,4,999,-1.8,-46.2,1.291,5099.1,4,2,4,0,1,1,1,0
59,1,999,1.4,-36.1,4.963,5228.1,3,0,0,0,1,0,1,0
37,1,999,-0.1,-42.0,4.191,5195.8,9,0,5,0,1,0,1,0
31,1,999,-1.8,-46.2,1.299,5099.1,2,2,1,0,0,0,1,0
30,1,999,1.4,-36.1,4.964,5228.1,2,1,5,0,0,0,1,0
26,2,999,-1.8,-46.2,1.299,5099.1,1,1,1,0,0,0,1,0
28,2,999,-1.8,-34.8,0.636,5008.7,2,1,5,0,0,0,1,0
23,6,999,-1.8,-46.2,1.244,5099.1,1,0,3,0,1,0,1,0
37,1,999,-1.8,-34.8,0.637,5008.7,3,0,3,0,1,0,1,0
30,2,999,1.1,-36.4,4.857,5191.0,3,0,0,0,0,0,0,0
37,2,999,1.1,-36.4,4.856,5191.0,3,0,1,0,1,0,0,0
33,1,999,-1.8,-46.2,1.313,5099.1,4,1,4,0,1,0,1,0
59,1,999,-1.8,-40.0,0.682,5008.7,2,2,0,0,1,0,1,0
44,10,999,1.1,-36.4,4.856,5191.0,3,0,0,0,0,0,0,0
59,1,999,1.4,-36.1,4.967,5228.1,0,0,0,0,0,0,1,0
39,3,999,1.1,-36.4,4.864,5191.0,3,0,3,0,0,1,0,0
55,1,999,-0.1,-42.0,4.191,5195.8,2,2,1,0,1,0,1,0
45,1,999,1.4,-42.7,4.963,5228.1,3,2,1,0,0,0,1,0
38,1,999,-1.8,-47.1,1.365,5099.1,2,0,1,0,1,1,1,0
88,2,999,-2.9,-31.4,0.873,5076.2,5,2,0,0,1,0,1,0
28,1,999,-1.8,-46.2,1.334,5099.1,3,0,3,0,0,0,1,0
58,6,999,1.4,-42.7,4.962,5228.1,0,0,5,0,1,0,1,0
46,1,999,-1.8,-46.2,1.264,5099.1,2,1,5,0,1,0,1,0
38,3,999,1.1,-36.4,4.855,5191.0,6,0,5,0,0,0,0,0
55,1,999,-3.4,-26.9,0.728,5017.5,7,0,3,0,0,0,1,0
46,9,999,1.4,-42.7,4.957,5228.1,2,1,5,0,0,0,1,0
37,5,4,-1.7,-40.3,0.896,4991.6,2,0,5,0,1,0,1,1
35,2,999,1.1,-36.4,4.857,5191.0,4,1,4,0,0,0,0,0
31,1,999,-1.8,-46.2,1.327,5099.1,1,2,1,0,1,0,1,0
45,1,999,1.4,-41.8,4.959,5228.1,3,0,3,0,0,1,0,0
28,4,999,-2.9,-31.4,0.829,5076.2,10,1,5,0,0,0,1,0
39,2,999,1.4,-41.8,4.961,5228.1,7,0,5,0,0,0,0,0
56,7,999,1.4,-36.1,4.964,5228.1,8,0,3,0,1,0,0,0
38,1,999,1.4,-41.8,4.959,5228.1,1,0,1,0,0,0,0,0
40,1,999,1.4,-41.8,4.958,5228.1,2,0,1,0,0,0,0,0
43,12,999,1.4,-36.1,4.963,5228.1,7,0,4,0,0,0,0,0
58,1,999,1.4,-41.8,4.958,5228.1,2,1,5,0,0,0,0,0
50,3,999,-0.1,-42.0,4.076,5195.8,2,0,3,0,0,0,1,0
46,1,999,1.4,-42.7,4.963,5228.1,2,2,5,0,1,0,1,0
34,2,999,-1.8,-46.2,1.334,5099.1,1,0,1,0,0,1,1,0
41,2,999,-1.8,-46.2,1.281,5099.1,3,0,0,0,1,0,1,0
32,2,999,1.4,-36.1,4.963,5228.1,2,0,5,0,0,0,1,0
58,1,999,-2.9,-40.8,1.26,5076.2,6,0,0,0,1,0,1,0
53,2,999,1.4,-42.7,4.957,5228.1,8,0,5,0,0,0,0,0
36,7,999,-0.1,-42.0,4.021,5195.8,8,0,3,0,1,1,1,0
38,1,999,-1.8,-47.1,1.453,5099.1,3,0,0,0,0,0,1,0
29,2,999,1.4,-41.8,4.959,5228.1,4,1,5,0,1,1,0,0
30,2,6,-1.8,-34.8,0.655,5008.7,4,0,4,0,1,0,1,1
45,1,999,-2.9,-40.8,1.266,5076.2,7,0,3,0,1,0,1,0
27,1,999,-1.8,-46.2,1.313,5099.1,2,1,1,0,1,0,1,0
32,1,6,-3.4,-30.1,0.714,5017.5,8,0,5,0,1,0,1,0
34,2,999,1.1,-36.4,4.864,5191.0,0,1,5,0,0,0,0,0
